Search Term,Title,Price,Condition,Sold Quantity,Location,Discount,Seller Rating,Seller Sales Completed,Seller Username,Seller Location,Color,Seller Address,Payment Methods,Description
iPhone,"Apple iPhone SE Se (3ª Generación, 64 Gb) - Azul Medianoche - Distribuidor Autorizado",633598.8,new,,"{'id': 'TUxBQlBBVDI0ODFa', 'name': 'Paternal'}",,,,,,,"{'city': {'id': 'TUxBQlBBVDI0ODFa', 'name': 'Paternal'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQkFHUjk3NjJa', 'name': 'Agronomía'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1202690442}",,
iPhone,Apple iPhone 15 (128 Gb) - Negro,1116899,new,,{'name': 'PALERMO'},,,,,,,"{'city': {'name': 'PALERMO'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBTDI1MTVa', 'name': 'Palermo'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1284504802}",,
iPhone,Apple iPhone 15 Pro Max (256 Gb) - Titanio Negro,1705899,new,,{'name': 'PALERMO'},,,,,,,"{'city': {'name': 'PALERMO'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBTDI1MTVa', 'name': 'Palermo'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1284504802}",,
iPhone,Apple iPhone 14 (128 Gb) - Azul,995999,new,,{'name': 'PALERMO'},,,,,,,"{'city': {'name': 'PALERMO'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBTDI1MTVa', 'name': 'Palermo'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1284504802}",,
iPhone,Apple iPhone 13 (128 Gb) - Verde,920000,new,,"{'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}",,,,,,,"{'city': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1192621164}",,
iPhone,Apple iPhone 11 (64 Gb) - Negro,648999,new,,{'name': 'PALERMO'},,,,,,,"{'city': {'name': 'PALERMO'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBTDI1MTVa', 'name': 'Palermo'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1284504802}",,
iPhone,Apple iPhone 11 (128 Gb) - Blanco,709065,new,,"{'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}",,,,,,,"{'city': {'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}, 'state': {'id': 'AR-S', 'name': 'Santa Fe'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TVhYRmlzaGVydG9uVFV4QlExSlBVemcxWWpnM', 'name': 'Fisherton'}, 'city': {'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}, 'state': {'id': 'TUxBUFNBTmU5Nzk2', 'name': 'Santa Fe'}}, 'id': 1095167575}",,
iPhone, iPhone 6 32 Gb  Gris Espacial,219999,new,,"{'id': 'TUxBQkNPRzY5MTZa', 'name': 'Coghlan'}",,,,,,,"{'city': {'id': 'TUxBQkNPRzY5MTZa', 'name': 'Coghlan'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlZJTDcwOTla', 'name': 'Villa Urquiza'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1019652404}",,
iPhone,Apple iPhone 15 Pro (256 Gb) - Titanio Negro,1655499,new,,{'name': 'PALERMO'},,,,,,,"{'city': {'name': 'PALERMO'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBTDI1MTVa', 'name': 'Palermo'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1284504802}",,
iPhone,Apple iPhone 15 Pro (128 Gb) - Titanio Negro,1573499,new,,{'name': 'PALERMO'},,,,,,,"{'city': {'name': 'PALERMO'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlBBTDI1MTVa', 'name': 'Palermo'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1284504802}",,
